Age,Annual_Income,Loan_Amount,Years_Employed,Dependents,Credit_History,Risk_Flag
35,52872,7661,33,0,Yes,0
34,59199,48717,5,4,Yes,0
39,85020,9769,6,0,No,0
45,73974,15387,33,1,Yes,0
60,90864,11145,32,4,No,0
63,95088,14343,35,3,Yes,0
27,123169,32317,2,0,Yes,0
26,27219,10917,38,1,Yes,0
51,32823,33394,31,1,Yes,1
54,72870,17143,17,1,No,0
56,111414,44394,28,4,Yes,0
37,23465,22200,19,3,Yes,0
22,129723,40432,16,4,Yes,0
54,140497,9802,13,4,Yes,0
32,79332,24552,29,0,No,0
32,126520,26664,29,1,No,0
35,35668,16193,21,3,Yes,0
34,122826,17202,13,2,Yes,0
40,21626,18454,3,4,Yes,0
38,67498,44331,5,0,Yes,0
46,107043,5487,4,3,Yes,0
49,79875,35285,20,4,Yes,0
38,98533,45549,9,4,Yes,0
26,85078,6277,26,4,No,0
24,71952,4770,2,3,No,0
53,20909,42516,37,4,Yes,1
32,23664,34093,16,1,Yes,1
35,59023,26394,10,1,Yes,0
62,74033,6202,19,2,Yes,0
41,103290,20513,15,1,Yes,0
23,149994,24843,3,2,Yes,0
37,109349,48953,16,1,Yes,0
49,89806,43898,21,0,No,1
24,101686,38449,38,1,Yes,0
27,107346,4543,14,0,Yes,0
38,114859,2982,0,1,Yes,0
20,24257,38269,22,3,Yes,1
63,94451,37674,31,4,No,1
23,56649,41011,16,4,No,1
54,104179,49990,4,1,No,1
63,113743,30784,14,4,No,1
39,108993,22320,32,4,Yes,0
20,45710,47623,9,4,Yes,0
57,138048,1885,5,2,Yes,0
50,28076,36547,14,1,Yes,1
62,138013,40958,15,3,Yes,0
38,117282,4996,26,1,Yes,0
30,145520,49608,36,0,Yes,0
26,112264,16720,35,1,No,0
20,110546,17592,6,1,No,0
49,63923,44086,13,3,Yes,0
63,90333,2015,24,4,Yes,0
47,61335,37410,37,1,Yes,0
24,107081,21543,8,4,No,0
28,128177,3422,13,3,Yes,0
59,125154,39560,3,3,Yes,0
35,98712,3712,1,0,Yes,0
21,45765,42838,26,3,Yes,0
26,40946,13094,3,0,Yes,0
25,138384,41674,9,2,Yes,0
25,35932,29520,17,2,Yes,0
61,115505,18426,24,1,No,0
55,41311,31649,31,0,Yes,0
41,122416,34290,20,1,Yes,0
57,52833,5682,30,3,Yes,0
43,87612,6612,7,1,Yes,0
40,149745,47153,36,2,Yes,0
53,120808,49737,28,1,No,1
42,24300,17568,1,4,Yes,1
